ANL,FH,PE,SE,AWL,CD,CH,CL,FLA,FLL,FLW,GL,GWE,GWI,PL,PS,SN,AWC,BLSC,SC
0.25,67,3.7,1,2.5,0.5,70,69,57,23.7,1.1,8.26,0.51,2.16,16,30,37,1,0,0
0.27,65,0,1,5.2,0.5,45,59,68,21,0.9,8.85,0.65,2.36,19.7,0,41,1,1,1
0.32,65,3.8,1,5.5,0.53,60,75,60,27.3,0.9,8.98,0.65,2.36,21.5,30,51,1,0,1
0.28,64,1.5,1,4.8,0.47,45,74,57,23.7,1,9.12,0.69,2.45,20.7,20,49,1,0,1
0.31,64,0,1,5.2,0.5,50,61,80,19.5,0.8,8.85,0.6,2.44,18.8,0,28,1,0,1
0.33,65,3.5,1,4.8,0.47,45,60,40,17.3,0.7,8.63,0.61,2.43,18.7,0,30,1,0,1
0.26,76,2,0,4.2,0.4,50,61,58,19.8,0.9,9.28,0.65,2.63,15.5,23,26,1,1,1
0.28,65,3.5,1,3,0.5,40,67,52,23,1.1,8.28,0.56,2.47,16.8,0,44,1,0,0
0.3,66,0,1,4,0.53,45,57,70,19.7,0.9,8.81,0.65,2.54,17.8,0,40,1,0,1
0.32,66,3.2,1,5.3,0.37,40,60,50,15.7,0.8,8.95,0.64,2.56,17.8,0,24,1,0,1
0.32,65,2.8,1,2,0.5,30,63,77,17.3,0.8,8.74,0.49,2.25,17.8,0,35,1,0,0
0.28,68,3.3,1,5.8,0.4,30,56,68,21.5,0.9,8.37,0.59,2.48,17.7,0,46,1,0,1
0.3,67,1.8,1,4.8,0.5,45,59,75,20.5,1.1,8.61,0.57,2.68,18.8,0,49,1,0,1
0.31,90,3.3,1,3.7,0.67,50,67,65,20.8,0.9,7.81,0.46,2.04,18.5,30,45,1,1,1
0.31,64,1.7,1,3.2,0.53,30,62,73,19.3,0.9,8.35,0.5,2.18,16.5,20,36,1,0,1
0.31,67,4.3,1,5.3,0.57,40,68,53,24.2,0.9,9.03,0.65,2.18,21,28,39,1,0,1
0.3,66,2.5,1,2.8,0.47,50,67,95,24.8,1.2,9.91,0.68,2.36,18.8,20,39,1,0,0
0.3,65,0,1,4,0.5,55,57,62,16.8,0.9,7.79,0.52,2.19,18.3,0,43,1,0,1
0.3,64,2,1,5,0.53,50,62,45,18.7,1,9.17,0.63,2.38,16.8,22,37,1,0,1
0.3,67,0,1,1.2,0.47,30,45,67,21.7,0.7,8.69,0.47,2.15,12.2,0,26,1,0,0
0.32,66,2.7,1,4.7,0.43,35,63,63,20,0.8,8.26,0.55,2.28,19.8,18,41,1,0,1
0.35,66,4.2,1,6.8,0.43,40,66,33,16.5,0.6,9.04,0.64,2.36,17.3,22,20,1,0,0
0.3,71,3.5,1,6.2,0.4,50,72,63,20.2,0.8,9.2,0.66,2.33,21.3,18,27,1,0,1
0.35,67,1,1,3,0.53,45,63,55,18,0.7,8.93,0.55,2.4,18.2,0,37,1,0,1
0.3,89,1.3,1,5.7,0.53,45,70,60,22.5,0.8,9.5,0.67,2.6,19.8,13,29,1,0,1
0.25,73,1.2,1,6,0.53,50,71,78,27.7,1.2,9.08,0.61,2.56,21.7,0,55,1,1,1
0.3,71,2.7,1,4.3,0.43,40,64,57,19.8,0.9,8.81,0.63,2.44,18.7,0,41,1,0,1
0.3,75,0,1,6.5,0.47,45,59,60,17.8,0.9,9.1,0.64,2.53,18.7,0,24,1,0,1
0.27,65,0,1,5,0.57,40,66,47,22.5,0.9,9.01,0.69,2.55,19.7,0,44,1,0,1
0.25,65,2.3,1,3.7,0.47,40,54,67,17.7,0.7,8.87,0.63,2.73,16,0,35,1,0,0
0.3,84,1,1,2.7,0.47,50,79,73,20.5,0.9,9.31,0.6,2.19,21.7,0,47,1,1,0
0.3,67,4.3,1,3.8,0.5,50,75,63,23.8,1.1,9.18,0.65,2.42,20,20,52,1,1,1
0.33,66,6.2,1,4.7,0.4,45,66,47,17,1,8.83,0.58,2.49,17.7,0,26,1,0,1
0.32,69,2.8,1,4.8,0.43,55,77,67,19.3,0.9,9.51,0.72,2.59,19.2,0,26,1,0,1
0.33,63,3.3,1,5.8,0.53,45,68,63,20.3,1,8.87,0.58,2.43,18.3,0,39,0,0,1
0.41,89,0,1,4.3,0.47,30,47,47,16.5,0.6,8.76,0.57,2.46,11.5,0,22,0,0,1
0.25,86,1,1,2.8,0.5,50,91,70,26.7,0.9,9.08,0.66,2.63,26,23,60,1,0,1
0.3,83,7.7,1,3.3,0.57,55,84,78,20,0.9,8.46,0.59,2.45,20.3,23,41,1,0,0
0.24,83,1.7,1,4.8,0.53,65,66,63,21.2,1,8.61,0.57,2.54,20,18,48,1,0,1
0.3,65,0,1,0.2,0.47,60,62,47,18.7,0.7,8.92,0.57,2.41,13.3,0,29,1,0,0
0.31,104,7,1,5.3,0.47,50,75,75,15.7,0.9,9,0.6,2.12,19.7,18,31,1,0,1
0.28,81,6.5,1,5.3,0.6,40,73,57,26.2,1.1,9.14,0.61,2.38,24,30,59,1,0,1
0.31,65,3.3,1,5.2,0.47,45,79,83,19.7,1,9.47,0.67,2.56,21.3,0,37,1,0,1
0.25,66,5.3,1,5,0.43,50,73,50,20.8,0.9,8.9,0.62,2.73,20.2,0,47,1,0,1
0.35,109,7,1,3.2,0.47,30,100,53,29.2,0.9,9.24,0.56,2.28,21.8,0,30,1,1,1
0.3,64,3.3,1,5.2,0.5,45,66,38,19,1.2,9.09,0.6,2.56,16.7,22,32,1,1,1
0.31,66,7.3,1,4.7,0.53,30,77,65,18.3,0.9,8.69,0.6,2.34,18.8,0,27,1,0,1
0.28,70,2.3,1,5.2,0.5,40,73,62,18.3,0.9,9.2,0.63,2.35,17.7,20,29,1,0,0
0.3,67,1.8,1,6.2,0.5,55,71,78,20.7,0.8,9.08,0.6,2.42,18.3,0,29,0,1,1
0.31,66,0,1,5.2,0.53,45,89,57,24.7,1.1,10.28,0.72,2.67,22.3,0,29,1,0,1
0.25,74,4,1,6,0.53,50,89,57,28.5,0.9,8.72,0.63,2.74,17.8,27,32,1,1,1
0.31,64,3.2,1,3.5,0.57,55,85,67,29.3,1,9.36,0.68,2.56,19.8,23,33,1,1,1
0.3,72,4,1,4.8,0.5,30,79,50,22.7,1.2,8.85,0.6,2.44,19.7,0,40,1,0,1
0.3,64,7.2,1,5.7,0.5,40,92,63,23.8,1,8.88,0.58,2.21,21,0,37,1,0,1
0.29,67,7.7,1,0.5,0.53,50,92,82,21,1,9.2,0.7,2.59,18.7,0,29,1,1,0
0.31,83,4.7,1,5.7,0.43,40,65,27,12.8,0.7,9.52,0.51,2.18,17.7,0,32,0,0,1
0.31,69,3,1,5.3,0.5,80,83,82,23.2,1,8.68,0.58,2.39,23.3,0,40,1,0,0
0.29,64,2.7,1,4,0.5,40,63,75,17.3,0.9,8.79,0.58,2.35,15.7,0,43,0,0,1
0.3,63,6.7,1,2.5,0.53,40,62,57,16.5,0.9,8.8,0.54,2.19,16,0,31,1,1,1
0.32,61,4.3,1,4.8,0.5,55,82,75,18.5,0.8,8.95,0.69,2.67,21.5,0,42,1,1,1
0.31,63,6.7,1,4.8,0.5,40,84,68,20.7,1,9.13,0.64,2.56,17.5,37,37,1,0,1
0.29,63,5.5,1,4.7,0.47,50,71,80,18.7,0.8,8.94,0.62,2.4,19.2,37,52,1,0,0
0.3,87,4.7,1,4.7,0.47,35,76,78,20,0.9,8.15,0.48,2.36,19,0,29,1,0,1
0.31,80,6.3,1,4,0.53,40,90,60,21.3,0.8,10.01,0.63,2.63,19.3,7,21,1,0,1
0.3,107,6,0,4.5,0.43,50,79,65,23.8,1,9.52,0.53,2.41,18.8,22,55,1,0,0
0.34,79,3.5,1,4.7,0.5,45,65,40,20.2,1,9.49,0.57,2.6,21.2,40,48,1,1,1
0.28,73,6,1,5,0.5,40,93,50,25.5,1.1,8.85,0.65,2.59,25.5,32,72,1,0,1
0.3,63,4.3,1,5.7,0.5,55,88,65,21.8,0.9,9.17,0.63,2.41,21.3,20,46,1,0,1
0.3,65,6.5,1,5.3,0.5,60,75,43,18.5,1,8.92,0.61,2.46,18.7,32,44,1,1,1
0.34,76,5.8,1,5.7,0.53,50,77,58,30.7,1.1,8.72,0.62,2.58,22.5,32,49,0,0,1
0.28,81,3.5,1,5.5,0.53,45,70,33,22.2,0.7,8.74,0.46,2.39,22.8,17,58,1,1,1
0.34,63,3.3,1,4.5,0.5,35,71,63,18.5,0.8,9.35,0.64,2.26,19.5,0,39,0,1,1
0.3,64,6.3,1,5.7,0.5,55,75,62,19,0.9,8.99,0.58,2.26,20.7,23,34,1,0,1
0.25,63,4.2,1,5.8,0.5,40,59,42,20.8,0.9,8.85,0.6,2.44,18,0,43,1,0,1
0.31,63,6.5,1,4.7,0.6,50,86,75,24,0.9,9.35,0.63,2.41,23.3,0,44,0,0,1
0.32,64,6.3,1,6.5,0.5,50,84,70,19.3,0.9,8.88,0.52,2.7,24.5,22,56,1,0,1
0.3,63,4.5,1,7.3,0.47,40,90,68,23.2,1.1,9,0.57,2.61,24,22,68,1,0,1
0.3,64,8.2,1,2,0.43,45,82,52,19.2,1,8.78,0.56,2.53,17.3,0,43,1,1,0
0.25,63,3.5,0,5,0.47,50,91,72,19.2,0.8,8.52,0.58,2.57,19.3,0,35,1,0,1
0.28,63,7.5,0,4.3,0.47,60,75,55,22.8,1.1,9.53,0.68,2.69,19.3,40,54,1,0,1
0.3,71,8,1,6.8,0.4,35,83,65,23.3,1,8.72,0.63,2.44,22.3,0,50,1,0,1
0.29,103,4,1,2.7,0.43,30,78,47,15,0.7,8.38,0.49,2.14,19.7,35,50,1,0,1
0.23,72,2.3,1,4.7,0.4,45,75,47,24.3,1.1,8.23,0.55,2.49,19.5,0,54,1,0,1
0.31,72,6.2,1,4.2,0.5,35,84,33,18.3,0.8,9.14,0.59,2.48,16.3,23,33,1,0,1
