ANL,FH,PE,SE,AWL,CD,CH,CL,FLA,FLL,FLW,GL,GWE,GWI,PL,PS,SN,AWC,BLSC,SC
0.28,68,0,1,3.3,0.43,20,48,52,17.3,0.8,9.14,0.66,2.67,13.3,0,25,1,0,0
0.38,83,0,1,3.2,0.67,45,54,70,16.8,0.6,8.85,0.6,2.44,16.2,0,21,1,0,1
0.2,65,1.8,1,3.8,0.43,30,58,43,16.5,0.9,8.69,0.66,2.51,16.2,0,43,1,0,1
0.2,69,0,1,3.3,0.47,40,73,82,19.7,1,8.45,0.58,2.4,20.2,0,52,1,1,1
0.21,65,0,0,2,0.43,30,50,73,19,0.8,8.62,0.6,2.28,13.3,0,37,1,0,1
0.23,71,1.8,1,3.2,0.4,40,65,73,18.2,0.8,9.32,0.67,2.39,16,22,30,1,1,0
0.2,65,0,1,3,0.43,45,54,77,19.5,0.8,9.06,0.6,2.23,17.7,0,42,1,1,1
0.25,64,3.2,1,2,0.33,40,51,47,15.8,0.9,8.85,0.6,2.44,14.3,0,30,1,0,1
0.23,63,3.3,1,4.8,0.5,60,56,72,23.2,1,8.02,0.61,2.52,19.2,40,46,1,0,1
0.25,69,0,1,3,0.37,50,49,53,15.2,0.9,8.85,0.6,2.44,13.3,0,28,1,0,0
0.22,64,0,1,2,0.43,40,56,57,21.7,0.8,8.36,0.57,2.2,15.8,0,33,1,0,1
0.3,67,0,1,5.7,0.67,40,70,60,29,1,8.95,0.63,2.64,21.2,50,51,1,0,1
0.3,81,2.7,1,5.3,0.43,55,64,27,19.2,0.9,8.96,0.59,2.41,19.7,23,42,1,1,1
0.33,88,3.8,1,3.8,0.4,45,72,40,19.7,0.8,8.82,0.49,2.24,20,27,42,1,0,1
0.3,63,1.8,1,5.3,0.53,50,62,65,27.7,1.1,9.32,0.65,2.29,22.3,53,39,1,0,1
0.31,79,2.2,1,4.8,0.43,45,66,77,19.7,0.9,9.23,0.59,2.44,17.7,22,36,1,1,1
0.3,64,8.2,1,4.8,0.47,30,76,57,19.8,1,8.31,0.53,2.46,19.7,0,52,1,0,1
0.37,72,0,1,5.2,0.43,50,63,62,19.5,0.9,9.12,0.61,2.57,21.7,27,31,1,0,1
0.25,64,1.5,1,3.8,0.47,35,63,53,22.3,0.9,8.68,0.61,2.58,19,0,37,1,1,0
0.3,64,0,1,2.7,0.5,40,61,68,19.2,0.9,8.67,0.56,2.46,17.5,25,41,1,0,0
0.3,64,10,1,5.3,0.5,50,81,75,19,1,8.98,0.59,2.6,21,30,62,1,0,1
0.33,79,8.5,1,6,0.5,65,97,80,25.5,1,9.21,0.68,2.56,25,32,63,1,0,1
0.37,83,7.5,1,3.2,0.53,55,65,40,19.7,0.8,8.54,0.53,2.39,17.5,37,39,1,0,1
0.32,73,9.2,1,6,0.47,50,75,68,19,0.7,8.23,0.56,2.58,16.5,47,27,1,0,1
0.24,61,7,1,6,0.73,45,91,53,22.8,1.1,8.05,0.6,2.66,24,35,67,1,0,1
0.34,62,5.8,0,7.3,0.53,55,77,57,23.3,1.1,8.95,0.66,2.39,23.8,23,47,1,1,1
0.4,99,3.5,1,6.3,0.5,60,78,82,24,0.8,9.18,0.66,2.48,21.8,38,42,0,0,1
0.33,79,9.5,1,4,0.47,45,74,52,18.3,0.8,8.49,0.63,2.17,20.3,32,31,0,0,1
0.3,61,3.2,1,4.8,0.43,50,65,43,17.7,1.1,8.4,0.59,2.55,19.7,30,50,1,0,1
0.38,61,6.8,1,5.3,0.53,60,84,70,18.5,0.9,9.55,0.58,2.36,21.3,35,31,1,1,1
0.31,61,9.2,1,6.7,0.5,60,82,85,24.8,1,8.2,0.57,2.44,21.7,0,62,1,0,1
0.35,79,12,1,4.8,0.5,45,96,47,18.3,1,9.16,0.63,2.4,21.8,33,41,1,1,1
0.43,62,11.2,1,4.8,0.47,45,94,60,21.3,0.8,9.05,0.48,2.27,19.7,0,25,1,1,1
0.3,61,4.7,1,4.8,0.5,55,81,77,22.5,1.1,9.38,0.66,2.55,21,30,58,1,0,0
0.31,61,3.8,1,4.8,0.5,40,72,58,19,0.8,8.86,0.62,2.63,16.5,0,36,1,0,1
0.33,61,2.7,1,4.2,0.5,50,62,60,12.7,1,9.17,0.61,2.26,17,0,29,1,0,1
0.22,72,0,1,3.3,0.5,40,80,93,19.7,0.9,9.37,0.7,2.48,16,0,48,1,1,0
0.41,93,10.7,1,6.8,0.43,40,96,68,22.7,0.8,9.52,0.65,2.34,22.5,0,34,1,0,1
0.31,104,3.8,0,5,0.37,40,63,10,14.2,0.8,8.85,0.6,2.44,18.3,0,34,1,0,1
0.23,62,0.8,1,4.8,0.53,50,60,65,23,1,8.71,0.59,2.49,20.2,0,52,1,1,0
0.31,62,6.2,0,6.2,0.47,35,75,47,18.8,0.8,8.85,0.71,2.89,21.8,0,26,1,0,1
0.31,64,9.5,1,6.7,0.5,30,89,52,19.8,1,8.97,0.59,2.46,23.5,25,40,1,1,1
0.34,62,5.2,1,3.7,0.33,30,80,50,16.8,0.8,9.13,0.55,2.34,17.5,0,22,1,0,1
0.3,75,4.5,0,5.2,0.5,60,93,73,23,1.3,8.93,0.61,2.5,23.7,40,68,1,0,0
0.28,71,0,1,4.7,0.5,25,51,57,18.7,0.8,8.85,0.6,2.44,15.7,0,34,0,0,1
0.3,76,8.7,1,6.2,0.53,55,99,87,23,1.1,9.61,0.64,2.54,23.7,20,42,1,0,0
0.3,70,9.2,0,5,0.47,50,83,40,17.5,0.9,9.27,0.59,2.32,18.2,20,36,0,1,1
0.42,93,7.7,1,4.8,0.5,55,99,57,26.2,0.8,8.84,0.6,2.5,24.7,32,54,1,0,1
0.31,76,6.5,1,6.2,0.53,50,74,63,20.5,1,8.55,0.47,2.3,23.3,38,57,1,0,1
0.4,88,7.2,1,7.8,0.53,45,76,67,21.5,1,9.49,0.61,2.65,26,40,41,1,0,1
0.41,95,8.5,1,4.5,0.47,45,90,77,23.7,0.8,9.29,0.56,2.32,22.7,25,38,1,1,1
0.3,96,5.2,1,5.7,0.43,60,75,47,19.7,1,8.91,0.59,2.62,22.5,37,40,1,0,1
0.33,97,3.7,1,5.8,0.5,45,81,87,26,0.9,8.62,0.6,2.5,22.8,30,48,1,0,1
0.31,78,10.7,1,7.7,0.5,60,88,63,21.3,1,8.64,0.6,2.52,23,30,48,1,0,1
0.4,65,6.3,0,5.5,0.43,45,77,37,19.5,0.8,9.48,0.59,2.44,21,33,32,0,0,1
0.34,108,5.3,1,4.8,0.5,35,83,37,26.5,0.8,8.97,0.5,2.39,26.2,30,57,1,1,1
0.31,65,5.8,1,5,0.37,45,105,63,18.7,0.9,9.09,0.7,2.61,24.5,28,36,1,0,1
0.35,86,9.7,1,4.8,0.5,50,96,65,25.5,1,9.4,0.66,2.6,24.5,37,37,1,0,1
0.31,109,2.3,1,4.3,0.5,25,86,30,21.3,0.9,8.87,0.53,2.12,24.3,23,77,1,0,1
0.28,85,5.7,1,6.3,0.5,50,74,58,21.7,1,8.38,0.63,2.68,20.8,37,49,1,0,1
0.33,79,10.3,1,5.2,0.3,60,78,78,20.5,0.8,8.4,0.47,2.04,18.8,52,33,1,1,1
0.4,67,2.3,1,6.7,0.47,30,75,58,21,0.8,8.96,0.58,2.39,19.3,23,26,1,0,1
0.4,85,8.8,1,7.2,0.43,35,84,58,24.3,1,9.12,0.62,2.28,22.5,0,36,0,0,1
0.31,64,10,1,4.8,0.5,45,110,40,25.3,1.1,8.48,0.61,2.52,26.7,32,73,1,0,1
0.31,64,8.5,1,5.7,0.43,40,104,62,26,1,8.92,0.62,2.55,23.8,25,46,1,1,1
0.34,80,12,1,5.2,0.47,45,103,62,23,1,9.03,0.6,2.28,21.2,0,43,1,0,1
0.25,72,6.3,1,7.3,0.43,40,99,68,25.2,1,8.04,0.58,2.54,25.8,0,49,0,0,1
0.34,72,6.5,1,5,0.53,35,100,40,29,0.9,8,4.73,2.38,19,22,40,1,1,1
0.23,89,8.3,1,3.8,0.4,40,95,68,24.5,0.7,8.24,0.59,2.5,20,30,51,1,0,0
0.4,69,6.8,1,6.8,0.43,40,84,62,22.3,0.9,9.19,0.66,2.55,22.7,27,36,1,0,1
0.24,62,2.8,1,3.7,0.47,50,81,47,21.8,1.2,9.09,0.66,2.44,22.2,27,60,1,0,1
0.35,98,7.3,1,3.7,0.3,40,92,50,18.8,0.7,9.04,0.6,2.31,16.7,37,25,1,1,1
0.35,75,9.5,1,6.7,0.47,45,89,67,25.5,1.2,8.87,0.62,2.31,25,42,53,0,0,1
0.41,70,9.7,1,1.2,0.3,40,84,83,15.8,0.7,8.82,0.56,2.4,18.2,0,25,1,0,1
0.23,63,0,1,6.3,0.53,40,60,37,20.2,0.7,8.17,0.39,2.66,19.2,0,56,1,0,1
0.35,72,9,1,6.3,0.33,45,89,42,15.5,0.7,8.91,0.63,2.48,19.2,22,23,1,1,1
0.3,63,5.8,1,4.8,0.4,40,94,55,23.5,0.8,8.77,0.64,2.35,22,38,50,1,0,1
0.27,65,8.7,0,5.2,0.43,50,86,53,19.5,1,8.78,0.57,2.82,21.8,27,46,1,1,1
0.23,73,7,0,2.3,0.47,35,83,83,22.8,1,9.07,0.55,2.44,16,28,39,1,0,0
0.34,63,9.2,1,6.3,0.5,40,101,85,21.8,0.9,9.36,0.61,2.33,23.8,32,41,1,0,1
0.4,102,6.7,1,4.5,0.43,60,91,65,24,0.8,8.88,0.54,2.37,23,47,39,1,0,1
0.42,85,8,1,5.5,0.37,45,71,82,16.3,0.8,9.19,0.53,2.39,21.3,0,26,0,1,1
0.21,66,2.5,1,4.3,0.5,45,81,40,21.8,0.9,9.11,0.61,2.59,17.2,0,41,1,1,1
0.23,80,2.7,1,2.8,0.4,40,77,80,22,0.8,7.98,0.6,2.4,18,0,35,0,0,0
0.3,98,3.8,1,8.2,0.43,35,79,40,23.5,1.1,8.35,0.6,2.43,24.7,25,51,0,0,1
0.3,80,8.8,1,6.3,0.4,40,72,48,15.8,0.9,9.08,0.71,2.49,17.2,0,30,0,0,1
0.32,101,5.7,1,5.3,0.4,50,82,30,17.7,0.9,8.53,0.6,2.3,20.2,30,30,1,0,1
0.31,87,11.5,1,3.2,0.43,45,85,48,19.5,1.1,8.69,0.66,2.3,18.7,35,29,1,0,1
0.31,75,8.7,1,6.2,0.5,45,90,53,20.7,1,8.38,0.55,2.53,23.3,35,54,0,0,1
0.35,97,6.5,1,6.3,0.47,45,90,37,26.3,1,8.65,0.57,2.29,24,33,46,1,1,1
0.31,124,4.2,1,4.8,0.37,45,87,60,20.7,1,9,0.63,2.24,17.3,0,30,1,0,1
0.27,67,9.3,1,4.3,0.47,50,85,68,20,1,8.42,0.55,2.44,19.8,18,31,1,0,0
0.31,64,5.7,1,7,0.5,25,99,40,27.3,1.1,9.48,0.62,2.29,23,0,87,1,0,1
0.27,64,4,1,5.8,0.37,20,96,37,24.7,1,8.77,0.65,2.38,20.3,17,42,1,0,1
0.31,69,5.2,1,3.7,0.4,40,98,67,20.2,0.9,8.54,0.55,2.25,21.8,17,56,1,0,0
0.38,73,4.7,1,6.3,0.47,30,80,47,13.8,0.8,8.48,0.54,2.4,17,0,21,0,0,1
0.37,89,7,1,4.5,0.4,35,79,48,20.3,0.9,9.39,0.68,2.49,18.5,27,27,1,0,1
0.28,109,3.5,1,3.2,0.43,50,89,87,20,0.9,9.23,0.65,2.28,21.8,40,39,1,0,0
0.28,102,5.3,1,5.8,0.5,45,82,60,20.8,1,8.74,0.67,2.62,20,40,31,1,0,0
0.31,71,4.5,1,4.8,0.47,45,109,50,19.8,0.8,9.04,0.67,2.55,22.3,25,35,1,0,1
0.32,85,10.8,1,9.2,0.47,50,107,73,23.8,1.2,8.75,0.65,2.52,28.3,22,45,0,0,1
0.31,72,5.5,1,5.7,0.43,25,99,47,21.7,0.8,9.24,0.67,2.39,22.2,20,36,0,1,1
0.42,80,10.8,1,6.5,0.47,35,101,75,20.5,0.9,8.64,0.57,2.44,22,0,35,0,0,1
0.33,80,5.7,1,4.2,0.33,50,97,70,18.5,0.7,9.43,0.58,2.33,18.2,25,29,1,0,0
0.32,79,8.7,1,5.7,0.43,55,83,40,19,1,9.54,0.69,2.62,23,30,40,0,0,1
0.26,62,4.5,1,4.8,0.43,40,69,32,20,0.8,8.25,0.66,2.74,20.2,0,42,0,0,1
0.2,64,1.8,1,5.5,0.47,40,84,27,23,0.9,8.47,0.6,2.54,18,0,36,1,0,1
0.31,78,6,1,4.7,0.43,50,99,45,28.7,1,8.85,0.6,2.44,20.7,22,37,0,1,1
0.22,79,4.7,1,2,0.47,30,82,65,17.5,1,8.55,0.55,2.42,17.8,23,38,1,0,1
0.34,70,12.8,1,6.7,0.47,40,97,53,19.2,0.9,9.08,0.53,2.33,22,30,39,1,1,1
0.3,70,3,1,8,0.5,45,104,90,29.5,0.9,9.11,0.69,2.63,22.2,25,38,0,0,1
0.3,83,5.3,1,4.3,0.5,55,101,35,23.8,1,8.75,0.61,2.35,14,0,42,1,0,1
0.4,90,5.8,1,6,0.4,50,83,93,20.5,0.8,8.5,0.57,2.5,24.3,0,40,0,0,1
0.37,71,4.7,1,4.8,0.43,50,69,72,13.3,0.7,8.96,0.6,2.29,19.2,0,22,1,0,1
0.3,82,9,1,5.8,0.47,35,104,53,19.7,1,8.22,0.51,2.46,24.3,38,62,1,1,1
0.31,80,9.2,1,4.8,0.57,50,98,50,20.7,1,8.46,0.56,2.39,27,37,80,1,0,1
0.33,76,5.7,1,7.2,0.43,45,97,62,23.5,1,8.99,0.61,2.43,22.2,32,38,1,0,1
0.31,75,6.8,1,5.2,0.53,65,100,52,25.7,1.2,9.11,0.63,2.47,25.2,28,62,1,0,1
0.32,82,6.3,1,6.3,0.43,40,100,28,29,0.9,8.99,0.62,2.49,24.8,18,35,0,1,1
0.31,95,12.8,1,4.5,0.43,55,103,57,22.3,1,8.43,0.54,2.31,25.2,33,57,1,0,1
0.33,74,3.8,1,7.3,0.5,40,95,57,19.5,0.9,9.56,0.65,2.35,23.7,40,29,1,0,1
0.35,63,3.7,1,5.7,0.47,40,72,53,18.8,0.9,9.38,0.61,2.66,22.5,38,58,1,0,1
